team,round,date,location,opponent,result
Amateurs,1,Mon 2nd September,H,Nelson,1 - 3
Brigâd,1,Mon 9th September,H,Camelots,1 - 3
Amateurs,2,Mon 18th September,A,Cardiff Eagles,0 - 4
Brigâd,2,Tue 24th September,A,Bridgend B,1 - 3
Amateurs,3,Mon 29th September,H,Rooks,3 - 1
Brigâd,3,Mon 14th October,H,Argonauts,2.5 - 1.5
Amateurs,4,Mon 21st October,A,University,0.5 - 3.5
Amateurs,5,Mon 28th October,H,Knights,4 - 0
Brigâd,4,Mon 4th November,H,Monarchs,2 - 2
Amateurs,6,Mon 18th November,A,Barbarians,1.5 - 2.5
Brigâd,6,Mon 25th November,H,Penguins,2 - 2
Amateurs,7,Mon 2nd December,H,Cheetahs,
Amateurs,8,Mon 9th December,H,Bosons,
Brigâd,5,Tue 17th December,A,Titans,
Brigâd,7,Tue 7th January,A,Ravens,
Amateurs,9,Mon 13th January,A,Gambits,
Brigâd,8,Mon 20th January,A,Camelots,
Amateurs,10,Tue 28th January,A,Nelson,
Brigâd,9, Mon 3rd February,H,Bridgend B,
Amateurs,11,Mon 10th February,A,Rooks,
Brigâd,10,Mon17th February,A,Argonauts,
Amateurs,12,Mon 24th February,H,Eagles,
Brigâd,11,Wed 5th March,A,Monarchs,
Amateurs,13,Mon 10th March,H,University,
Brigâd,12,Mon 17th March,H,Titans,
Amateurs,14,Mon 24th March,A,Knights,
Brigâd,13,Tues 1st April,A,Penguins,
Amateurs,15,Mon 7th April,H,Barbarians,
Brigâd,14,Mon 14th April,H,Ravens,
Amateurs,16,Thur 17th April,A,Cheetahs,
Amateurs,18,Mon 12th May,H,Gambits,
Amateurs,17,Mon 19th May,A,Bosons,
